file_name	bundle_id	tier	provenance	invoked	invoked_by	rel_path	sha256_12	upstream_file	notes
GetBenchmark.m	CR	T4	T2	no		TIER2/GetBenchmark.m	13b22b69756a	GetBenchmark.m	
GetMS1ScanNo.m	CR	T2	T2	yes	EpiProfile	TIER2/GetMS1ScanNo.m	9ffe5092c8ad	GetMS1ScanNo.m	
GetMS2ScanNo.m	CR	T2	T2	yes	EpiProfile	TIER2/GetMS2ScanNo.m	c560d3fd1f8f	GetMS2ScanNo.m	
H3_04v3_27_40.m	CR	T2	T2	yes	DrawISOProfile1	TIER2/H3_04v3_27_40.m	c2b8c3fc753c	H3_04v3_27_40.m	
H3_Snapshot.m	CR	T2	T2	yes	DrawISOProfile1	TIER2/H3_Snapshot.m	a4ffac66159b	H3_Snapshot.m	
HH2A_01u_1_7.m	CR	T3	T3	yes	DrawISOProfile1	TIER2/HH2A_01u_1_7.m	03c939f45d36		
HH2B_01u_104_145.m	CR	T3	T3	yes	DrawISOProfile1	TIER2/HH2B_01u_104_145.m	727bf0b506e4		
init_histone0.m	CR	T2	T2	yes	DrawISOProfile0	TIER2/init_histone0.m	519c7bf3060f	init_histone0.m	
output_histone.m	CR	T2	T2	yes	H3_01_3_8,H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_03_18_26,H3_04_27_40,H3_04a_27_40,H3_04v3_27_40,H3_04v3a_27_40,H3_05_41_49,H3_06_53_63,H3_06a_53_63,H3_07_73_83,H3_08_117_128,H3_09u_64_135,H3_11_3_8,H3_12_9_17,H3_13_18_26,H3_14_27_40,H3_16_53_63,H3_17_73_83,H3_18_117_128,H4_01_4_17,H4_02_20_23,H4_02a_18_23,H4_02b_20_35,H4_03_24_35,H4_04_40_45,H4_05_68_78,H4_06_79_92,H4_07u_24_102,HH2A_01u_1_7,HH2B_01u_104_145	TIER2/output_histone.m	2e15e95778bd	output_histone.m	
output_histone2.m	CR	T4	T2	no		TIER2/output_histone2.m	3aaf644f0df8	output_histone2.m	
OutputFigures.m	CR	T2	T2	yes	DrawISOProfile1	TIER2/OutputFigures.m	38c4f2ee60a9	OutputFigures.m	
OutputTogether.m	CR	T2	T2	yes	DrawISOProfile1,DrawISOProfile2	TIER2/OutputTogether.m	8502c11a4f30	OutputTogether.m	
Raw2MS.m	CR	T2	T2	yes	EpiProfile	TIER2/Raw2MS.m	223d964223b3	Raw2MS.m	
H3_11_3_8.m	CR	T3	T3	yes	DrawISOProfile1	TIER3/H3_11_3_8.m	cc06af660d18		
H3_12_9_17.m	CR	T3	T3	yes	DrawISOProfile1	TIER3/H3_12_9_17.m	e9892c172329		
H3_13_18_26.m	CR	T3	T3	yes	DrawISOProfile1	TIER3/H3_13_18_26.m	44129d05e09c		
H3_14_27_40.m	CR	T3	T3	yes	DrawISOProfile1	TIER3/H3_14_27_40.m	9ae3e3c5c2ac		
H3_16_53_63.m	CR	T3	T3	yes	DrawISOProfile1	TIER3/H3_16_53_63.m	10a0297de508		
H3_17_73_83.m	CR	T3	T3	yes	DrawISOProfile1	TIER3/H3_17_73_83.m	621ba76bb419		
H3_18_117_128.m	CR	T3	T3	yes	DrawISOProfile1	TIER3/H3_18_117_128.m	9e1ae2504a53		
